OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,SOURCE_DATE,SOURCE,PARKING_ACCESS,STREET,PARKINGONSTREETID,PARKING_COST,CREATE_DATE,UPDATE_DATE,PAYMENT_METHOD,MAX_RATE,HOURS,DAYS,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,STATUS,Shape__Area,Shape__Length
213,PARKING,1,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,DAVID ST,2101, ,7/2/2003 3:08:06 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,7,ACTIVE,14.57861328125,16.8341150681325
214,PARKING,1,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,DAVID ST,2148, ,7/2/2003 3:08:08 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,7,ACTIVE,14.578857421875,16.8341150692937
215,PARKING,19,ON STREET,5/16/2013 10:16:48 AM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,DAVID ST,2110, ,7/2/2003 3:08:06 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,7,ACTIVE,369.135986328125,307.638489384008
216,PARKING,4,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST W,2149,2 HOURS FREE,7/2/2003 3:08:08 PM,5/1/2017 4:42:05 PM, ,,,,KITCHENER,9,1,ACTIVE,60.91259765625,62.0296147835345
217,PARKING,2,ON STREET,5/16/2013 10:57:52 AM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,CHURCH ST,2127, ,7/2/2003 3:08:07 PM,5/5/2017 1:24:11 PM,METERED,,,,KITCHENER,9,4,ACTIVE,37.1630859375,35.3600279890101
218,PARKING,2,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,CHURCH ST,2125, ,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,37.33251953125,35.4976451211385
219,PARKING,9,ON STREET,12/13/2011 4:03:11 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,YOUNG ST,2012,2 HOURS FREE,7/2/2003 3:08:02 PM,5/17/2017 10:46:33 AM, ,,,,KITCHENER,10,1,ACTIVE,106.16943359375,112.471650421327
220,PARKING,4,ON STREET,5/16/2013 10:57:52 AM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,CHURCH ST,2133, ,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,39.196044921875,48.5045815536262
221,PARKING,7,ON STREET,3/22/2013 4:46:47 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,COLLEGE ST,1998,2 HOURS FREE,7/2/2003 3:08:01 PM,5/1/2017 10:11:26 AM, ,,,,KITCHENER,10,1,ACTIVE,73.23583984375,74.270267520735
222,PARKING,4,ON STREET,5/16/2013 10:57:52 AM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,CHURCH ST,2132, ,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,72.874267578125,57.7263253909791
223,PARKING,1,ON STREET,3/12/2013 2:23:47 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,CHURCH ST,2150, ,7/2/2003 3:08:08 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,20.19970703125,22.8128821929625
224,PARKING,2,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,CHURCH ST,2135, ,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,22.030517578125,30.3328796107302
225,PARKING,2,ON STREET,12/13/2011 4:41:15 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,EBY ST,2136, ,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,23.03173828125,23.7695271730066
226,PARKING,2,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,EBY ST,2134, ,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,31.018798828125,30.3195409842953
227,PARKING,2,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,EBY ST,2131, ,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,26.132568359375,26.3111338698914
228,PARKING,2,ON STREET,12/12/2011 12:44:42 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,EBY ST,2130, ,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,9,4,ACTIVE,22.986572265625,23.731123619472
229,PARKING,4,ON STREET,11/5/2012 5:24:15 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,EBY ST,2121,2 HOURS FREE,7/2/2003 3:08:07 PM,4/12/2017 1:59:44 PM, ,,,,KITCHENER,9,1,ACTIVE,74.007568359375,64.2060537336101
230,PARKING,1,ON STREET,12/14/2011 1:35:43 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,FRANCIS ST N,5934,2 HOURS FREE,12/14/2011 12:04:51 PM,5/1/2017 9:53:37 AM,,,,,KITCHENER,10,1,ACTIVE,10.072998046875,14.0760239414612
231,PARKING,1,ON STREET,12/14/2011 1:35:44 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,FRANCIS ST N,5935,2 HOURS FREE,12/14/2011 12:05:17 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,1,ACTIVE,10.0732421875,14.0760239405571
232,PARKING,4,ON STREET,12/14/2011 1:36:10 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,FRANCIS ST N,5936,2 HOURS FREE,12/14/2011 12:09:43 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,1,ACTIVE,49.517333984375,47.0655221291108
